Formula,Space Group,Band Gap,a,b,c,a=b
TiSe3,P2_1/m,0,3.5628,5.3755,26.873,FALSE
FeSe,Cmme,0,3.5628,3.5628,23.662,TRUE
SrCe,Pmmn,0,3.5628,4.1478,25.269,FALSE
InClO,Pmmn,2.6455,3.5635,4.1275,25.663,FALSE
AuS,P-1,0.3208,3.5642,6.3744,25.301,FALSE
Te2W,P-6m2,1.0613,3.5652,3.5652,23.646,TRUE
GeF2,P-3m1,2.7029,3.566,3.566,23.732,TRUE
SrMg2,Pmma,0,3.5662,5.7897,28.553,FALSE
Y2F3,C2/m,0.9618,3.5663,8.4781,25.496,FALSE
PtF2,P2_1/m,0.8752,3.5665,4.1204,24.932,FALSE
VI5,Pmmm,0,3.5666,10.762,23.745,FALSE
ZrSiSe,P4/nmm,0,3.5667,3.5667,27.12,TRUE
LaClO2,P2/m,3.1343,3.5668,6.7697,25.934,FALSE
ScS,P4/nmm,0,3.5669,3.5669,23.289,TRUE
HoS3,Pmma,0,3.5674,3.5854,30.431,FALSE
TcTe2,P-3m1,0,3.5676,3.5676,22.641,TRUE
Te2Mo,P-6m2,1.0563,3.5678,3.5678,23.619,TRUE
PrGe5,Pmmm,0,3.5679,6.6068,23.394,FALSE
H3Pt,P6/mmm,0,3.5685,3.5685,"20.0,""",TRUE
BTe,P-6m2,1.475,3.5687,3.5687,24.817,TRUE
Se3N2,P2_1/m,0.0535,3.5692,9.243,24.959,FALSE
ErS3,Pmma,0,3.5701,3.5852,30.429,FALSE
AgCNO,P2_1/m,3.2024,3.5704,6.5068,26.926,FALSE
VTe3,P2_1/m,0,3.5708,13.224,27.009,FALSE
HfBrN,Pmmn,2.1644,3.571,4.108,25.912,FALSE
BiAuO2,P2_1/m,1.6343,3.5711,6.4872,23.754,FALSE
Ca2Ce,Pmma,0,3.5729,5.8651,27.931,FALSE
Al2S5,C2/m,1.7116,3.5737,7.17,24.1,FALSE
SrSn2,P-3m1,0,3.5738,3.5738,24.664,TRUE
Ta2PtSe7,P2_1/m,0.0144,3.5739,18.934,26.029,FALSE
LuN2,C222,0,3.5747,3.7491,25.031,FALSE
DyS3,Pmma,0,3.5749,3.5911,30.585,FALSE
YF,P-3m1,0,3.5753,3.5753,26.854,TRUE
ZnCl2,P-3m1,4.5163,3.5766,3.5766,23.451,TRUE
GeS,Pbcm,0.4725,3.5768,11.076,22.971,FALSE
MoF5,Pmma,1.4201,3.577,8.489,23.603,FALSE
TbF,P-3m1,0,3.5771,3.5771,26.638,TRUE
SrBi2,C2/m,0,3.5771,7.5496,24.98,FALSE
SeO3,P-6m2,0.4626,3.5773,3.5773,23.59,TRUE
Al2FeS4,P3m1,0,3.5774,3.5774,29.02,TRUE
SrCuBiO4,P4/mmm,0,3.5778,3.5778,33.165,TRUE
Ta2Te3,P2_1/m,0,3.5784,10.339,23.996,FALSE
BiO2,P-3m1,0,3.5795,3.5792,21.972,TRUE
Tl2O3,Pc,0.3955,3.5798,6.5444,25.735,FALSE
H3Pd,P6/mmm,0,3.58,3.58,"20.0,""",TRUE
HfNCl,P-3m1,3.463,3.5801,3.5801,26.228,TRUE
ZnFe2O5,Pmmn,0,3.5804,11.725,23.728,FALSE
LiV(OF)2,P2_1/m,2.3533,3.5813,6.5143,24.577,FALSE
V2NiSe4,P-3m1,0,3.5817,3.5817,28.748,TRUE
B2Te3,P1,0,3.5822,6.5127,29.44,FALSE
SiF4,P4/mmm,6.6934,3.5823,3.5822,23.818,TRUE
InN,P-6m2,0.5856,3.5824,3.5824,20,TRUE
CuBr,Pmma,0.6441,3.5828,3.5599,23.042,FALSE
PbN,P-1,0,3.5832,9.1547,25.463,FALSE
CuF2,P-4m2,0.1959,3.5838,3.5817,23.53,FALSE
VSe,P4/nmm,0,3.5851,3.5851,23.448,TRUE
F2,Pbam,2.8545,3.5851,6.2011,19.861,FALSE
LiHO,P4/nmm,3.9169,3.5852,3.5852,23.642,TRUE
AlS,P-6m2,2.0336,3.5853,3.5853,25.019,TRUE
Ga2S5,C2/m,1.6842,3.5854,7.3617,24.095,FALSE
BTe,P-1,0.686,3.5858,4.4026,23.422,FALSE
ScBr,P-3m1,0,3.5869,3.5869,26.27,TRUE
SiSe2,P-4m2,1.121,3.5875,3.5875,22.855,TRUE
BTe,C2/m,1.8322,3.5879,10.24,25.588,FALSE
SrH4O3,Pmc2_1,4.3476,3.5885,6.6119,25.815,FALSE
YS3,P4mm,0,3.5896,3.5897,24.447,TRUE
AsCl5,Pmma,0.0519,3.5901,12.585,23.858,FALSE
RuCl2,P-3m1,1.2967,3.5901,3.5901,23.24,TRUE
TiSe5,Pmmn,0.1995,3.5908,12.318,25.297,FALSE
Ca2Zn,P4/mmm,0,3.5909,3.5909,23.983,TRUE
Ga2Fe2S5,P-6m2,0,3.591,3.591,32.104,TRUE
P,P4/nmm,0,3.5912,3.5901,23.788,FALSE
Lu2CCl2,P-3m1,1.0344,3.5914,3.5914,26.048,TRUE
CaBi,Pmm2,0,3.5916,5.8982,27.111,FALSE
Ca2N,P-3m1,0,3.5917,3.5917,22.51,TRUE
BTe,P-3m1,1.7859,3.5925,3.5925,24.623,TRUE
CaF2,P-3m1,7.1626,3.5931,3.5931,23.016,TRUE
Pb3N2,Pmmn,0.031,3.5934,11.494,23.067,FALSE
SnC,P-6m2,0.9468,3.5934,3.5934,20.769,TRUE
MnSe,P4/nmm,0,3.5938,3.5938,23.119,TRUE
UF3,Pmmn,0.027,3.5942,7.319,24.951,FALSE
NaCa,P2_1/m,0,3.5944,3.479,26.162,FALSE
AlS,P-3m1,2.0969,3.5957,3.5957,24.623,TRUE
InF,P4/nmm,2.1553,3.5959,3.6007,23.633,FALSE
NiS,P-3m1,0,3.5961,3.5961,23.678,TRUE
Nb2Te3,P2_1/m,0,3.5972,10.398,24.102,FALSE
Nb2Te3,P2_1/m,0,3.5976,10.39,23.997,FALSE
ThF2,P-6m2,0.371,3.5976,3.5976,24.529,TRUE
FeS,P4/nmm,0,3.5977,3.5977,22.56,TRUE
B4Te3,Pmn2_1,0.2181,3.5977,9.253,30.194,FALSE
CeC2,P4/mmm,0,3.5978,3.5978,22.585,TRUE
UPb2,P-1,0,3.5979,5.3193,26.177,FALSE
WF5,Pmma,2.3857,3.5986,8.4878,23.403,FALSE
AlS,P-1,1.9176,3.5987,10.918,25.606,FALSE
AgS2,P-3m1,0,3.5991,3.5994,23.008,TRUE
Mn(HO)2,P3m1,2.0543,3.5997,3.5997,22.78,TRUE
FeTe,P4/nmm,0,3.5998,3.5998,24.071,TRUE
RhCl2,P-3m1,0,3.6003,3.6003,23.069,TRUE
As2S3,P2_1/m,0.9712,3.6003,9.2382,26.221,FALSE
AlS,P3m1,0.3007,3.6004,3.6004,21.25,TRUE
Ca(HO)2,P-3m1,3.6708,3.6005,3.6005,24.252,TRUE
GeO,P4/nmm,2.194,3.6013,3.6013,22.379,TRUE
OsSe,Cmme,0,3.6014,3.6014,23.662,TRUE
VTe2,Pmmm,0,3.6017,3.1474,23.443,FALSE
HfS3,Pmmn,1.1468,3.6024,5.1371,25.891,FALSE
V2O5,P2_1/m,1.7748,3.6049,6.3413,27.122,FALSE
Os3S4,P-3m1,0,3.6057,3.6057,27.542,TRUE
MoN2,C2/m,1.2572,3.6061,5.652,22.496,FALSE
As,P-3m1,1.573,3.6061,3.6061,21.287,TRUE
BiC,P-1,0,3.6064,10.129,24.95,FALSE
BiC,C2/m,0.1299,3.6067,10.126,24.729,FALSE
TbHO2,Pmmn,3.4007,3.6067,4.2616,27.82,FALSE
VS,P4/nmm,0,3.6076,3.6076,23.448,TRUE
SmC2,P4/mmm,0,3.6081,3.6081,22.592,TRUE
BTe,P-6m2,0,3.6085,3.6085,28.035,TRUE
Ga2Fe2S5,P-3m1,0,3.6086,3.6086,32.011,TRUE
As2S3,P2_1/m,0.9767,3.6088,9.6426,25.252,FALSE
ScBrO,P4/nmm,3.4976,3.6088,3.6088,25.327,TRUE
NiTe,P4/nmm,0,3.6089,3.6089,22.999,TRUE
NdF3,Pmmn,6.9813,3.6092,7.2032,24.388,FALSE
V2CuO6,C2/m,0,3.6096,9.1126,23.829,FALSE
WN2,C2/m,0.5267,3.6103,5.6492,22.671,FALSE
Nb2CuS4,P-3m1,0,3.6112,3.6112,29.59,TRUE
OsCl2O,Pmmm,0,3.6112,3.7273,23.168,FALSE
NaTlO,Pm,0.0968,3.6113,6.0692,28.166,FALSE
Ga2Fe2S5,P-3m1,0,3.6123,3.6131,31.911,FALSE
Y7F10,P-1,0,3.6128,14.088,26.908,FALSE
USi2,C2/m,0,3.6128,5.3628,26.177,FALSE
V4Ag2O11,C2/m,1.4207,3.613,8.3241,25.947,FALSE
P2Se3,P2_1/m,0.2843,3.6133,9.4437,26.233,FALSE
Nd2BC,C2/m,0,3.6137,7.374,23.428,FALSE
AsCl5,Pmmm,0,3.614,7.9323,23.758,FALSE
Ga4S3,Pmn2_1,1.3251,3.614,10.837,30.194,FALSE
AlS,P-1,1.8942,3.6141,5.2654,23.433,FALSE
VTe3,P2_1/m,0,3.6147,17.052,28.44,FALSE
GaCl3,Pm,3.2676,3.6148,10.075,23.582,FALSE
V2O5,Pmmn,2.4589,3.6151,11.433,24.289,FALSE
CF4,P4/mmm,3.3672,3.6151,3.6151,23.818,TRUE
CuBr2,P-4m2,0,3.6155,3.6155,23.53,TRUE
GaS,P-6m2,2.4777,3.6166,3.6166,24.64,TRUE
HfBrN,P-3m1,3.135,3.6168,3.6168,26.557,TRUE
Si3P4,C2,0.3326,3.6169,3.6169,28.161,TRUE
SnF2,P-6m2,2.375,3.6176,3.6175,23.838,TRUE
CuSe,P-1,0,3.6181,6.0436,25.315,FALSE
Os3S4,P2_1/m,0,3.6187,5.8179,28.107,FALSE
GaS,P-1,2.33,3.6187,10.98,25.608,FALSE
SN,Aem2,0,3.6188,3.6188,23.274,TRUE
P2Se3,P2_1/m,0.2403,3.6188,9.5569,24.893,FALSE
YbBrO,P4/nmm,0,3.619,3.619,26.066,TRUE
Er6Cl7,P-1,0,3.62,9.9978,29.195,FALSE
AsI5,Pmma,0,3.6202,20.329,23.858,FALSE
V2O5,P2_1/m,2.4338,3.6203,10.085,24.973,FALSE
LiH2N,P-42_1m,3.2009,3.6213,3.6213,23.369,TRUE
BTe,P3m1,0,3.6214,3.6214,21.25,TRUE
PdS,P3m1,0,3.6215,3.6215,21.231,TRUE
MgCl2,Pmma,4.5748,3.6219,6.2685,23.548,FALSE
CoS,P4/nmm,0,3.6222,3.6222,22.797,TRUE
ThC2,P4/mmm,0,3.6224,3.6224,22.685,TRUE
Al2FeS4,P-3m1,0,3.6225,3.6225,28.676,TRUE
V2ZnO6,C2/m,3.0406,3.6227,9.0976,23.778,FALSE
BaBi2,C2/m,0,3.6231,8.2599,24.98,FALSE
Bi2O3,Pmmn,2.4228,3.6243,12.76,21.157,FALSE
CrTe,P4/nmm,0,3.6247,3.6247,23.354,TRUE
SrN,Pmm2,0,3.6277,3.7298,27.111,FALSE
Gd2CF2,P-3m1,0.6981,3.6278,3.6278,25.028,TRUE
NbTe2,C2/m,0,3.6279,9.9132,24.076,FALSE
AlF3,Pmma,7.7803,3.628,5.6379,22.851,FALSE
CoTe2,P-3m1,0,3.629,3.629,22.656,TRUE
HgF2,C2/m,1.9868,3.6292,3.6261,22.739,FALSE
VTe2,C2/m,0,3.6293,9.7537,23.819,FALSE
SmClF,P4/nmm,0,3.6298,3.6298,26.012,TRUE
TiGe2,P4/nmm,0,3.6306,3.6243,25.781,FALSE
BSb,P4/nmm,0,3.6307,3.6307,23.942,TRUE
Y(CuO2)3,P1,0,3.6307,8.8584,24.58,FALSE
As2Pt,P2_1/m,0,3.6309,5.6743,24.51,FALSE
GeSe,Pmmn,1.5544,3.631,5.8773,21.81,FALSE
GaS,P-3m1,2.3015,3.6311,3.6311,24.623,TRUE
TaF5,Pmma,4.3385,3.6314,8.3604,23.558,FALSE
TeC,Pbcm,0.0312,3.6316,10.805,22.971,FALSE
TiP2,P-3m1,0,3.6318,3.6318,21.95,TRUE
TaI2,P-3m1,0,3.6325,3.6325,22.903,TRUE
NiAs2,P2_1/m,0,3.633,4.6361,24.512,FALSE
LuHCl,P-3m1,0,3.633,3.633,25.966,TRUE
MoO3,Pm,1.0952,3.633,3.8411,22.566,FALSE
TaTe2,C2/m,0,3.6334,9.8069,24.056,FALSE
VCl2,P-3m1,1.2962,3.6335,3.6335,22.665,TRUE
NdBr2,P4/mmm,0,3.6336,3.6336,23.775,TRUE
BeBr2,Pmma,3.3015,3.6338,5.9169,23.548,FALSE
Zr3Se2,P4/mmm,0,3.634,3.634,26.086,TRUE
CoC4,P-42m,0,3.6342,3.6342,22.924,TRUE
TmCl2,P-3m1,0,3.6344,3.6344,23.842,TRUE
SeCl,C2/m,1.5265,3.6344,8.4204,25.863,FALSE
GaS,P-1,2.0461,3.6351,5.2134,23.431,FALSE
GeSe2,P-3m1,0,3.6355,3.6355,23.314,TRUE
FeTe2,P-3m1,0,3.6359,3.6347,22.67,FALSE
NpF3,Pmmn,0.0536,3.6363,7.2715,24.494,FALSE
ZrBrN,Pmmn,1.736,3.6364,4.157,25.986,FALSE
AuS2,P-3m1,0,3.6384,3.6136,23.009,FALSE
ZrNCl,P-3m1,2.7286,3.6384,3.6384,26.31,TRUE
MgCl2,P-3m1,6.0688,3.6385,3.6385,22.746,TRUE
AgBr2,P-4m2,0,3.6393,3.6393,23.53,TRUE
AlN,P4/nmm,3.4793,3.6395,3.6395,23.942,TRUE
HfS2,P-3m1,1.3021,3.6396,3.6396,22.876,TRUE
PtS,P-3m1,0,3.6401,3.6401,23.105,TRUE
ZrO2,P6/mmm,0,3.6404,3.6404,23.425,TRUE
HgF2,P-3m1,1.9769,3.6411,3.6411,22.956,TRUE
Ga2NiS4,P-3m1,0,3.6412,3.6412,28.868,TRUE
CrBr2,C2/m,0.4479,3.6413,4.02,23.014,FALSE
CuBrO2,P222_1,0.4587,3.6414,7.1022,22.961,FALSE
AgS,P-1,0,3.6416,6.1335,25.306,FALSE
SbO2,P6/mmm,0,3.6416,3.6416,23.731,TRUE
SbF5,Pmma,1.9886,3.6423,8.5037,23.508,FALSE
SrF2,Pmma,5.3345,3.6436,6.8002,23.548,FALSE
VBr2O,Pmmm,0.4088,3.644,3.6826,23.593,FALSE
CuCClO,Pmn2_1,2.4835,3.6441,5.0224,27.29,FALSE
KF,P4/mmm,4.8533,3.6445,3.6445,"20.0,""",TRUE
MoCl2,C2/m,0.7849,3.6451,4.1669,23.057,FALSE
PuF3,Pmmn,0,3.6463,7.1915,24.89,FALSE
NiP,P-6m2,0,3.6463,3.647,"20.0,""",FALSE
Y2F5,P2_1/m,0.4461,3.6465,8.8819,26.436,FALSE
IrCl2,P-3m1,0,3.6468,3.6468,23.069,TRUE
Pr2BC,C2/m,0,3.6468,7.4112,23.476,FALSE
Sc2Br3,C2/m,0.5472,3.6479,9.4834,25.499,FALSE
As2S3,P-3m1,0.9493,3.6479,3.6479,27.395,TRUE
CaMg,P-3m1,0,3.6489,3.6489,28.784,TRUE
ScSi3Ni2,P4/nmm,0,3.6489,3.6489,29.534,TRUE
NiBr2,P-3m1,0.5054,3.6496,3.6496,22.803,TRUE
SN,Pc,0,3.6497,17.137,23.12,FALSE
OsCl2,P-3m1,1.4202,3.6498,3.6498,23.24,TRUE
SN,P4/nmm,0,3.6499,3.6499,21.297,TRUE
HfI,P-3m1,0,3.6507,3.6507,26.166,TRUE
Mn(AlS2)2,P3m1,0,3.6515,3.6515,29.143,TRUE
Ga2FeS4,P-3m1,0,3.6515,3.6515,29.103,TRUE
V2Te3,P2_1/m,0,3.6516,9.9888,23.989,FALSE
TcBr2,P-3m1,0,3.652,3.652,22.766,TRUE
CaMg,P3m1,0,3.6525,3.6525,34.509,TRUE
GeS,Pmn2_1,1.7197,3.6527,4.4621,22.677,FALSE
HfSi2,P4/nmm,0,3.6529,3.6531,25.781,FALSE
Ti2Te2P,P-3m1,0,3.6533,3.6533,26.277,TRUE
AlSnF5,Pmmm,0.0055,3.6537,8.064,23.703,FALSE
Bi2CO5,Pmm2,0,3.6541,4.7037,23.817,FALSE
VTe2,P-3m1,0,3.6547,3.6551,23.418,FALSE
ZrS3,Pmmn,1.1275,3.6547,5.1883,25.95,FALSE
SrPb2,P-3m1,0,3.6548,3.6548,24.664,TRUE
Sc7Br10,P-1,0,3.6548,16.309,26.847,FALSE
FeCl3,P1,0.6612,3.6553,9.162,25.609,FALSE
ZrP2,P-3m1,0,3.6557,3.6563,21.95,FALSE
PdN2,P-1,0.0321,3.6559,7.8364,25.863,FALSE
Ti2ZnO5,Pmmn,3.156,3.6559,11.979,26.991,FALSE
GeP,C2/m,1.7551,3.6564,10.882,24.939,FALSE
Zn2Ag2O5,Pmc2_1,0,3.6567,6.3156,29.044,FALSE
GeP,P-1,1.7485,3.6569,10.877,24.955,FALSE
WI2,C2/m,0,3.6572,7.2244,21.528,FALSE
Sr2Co,P4/mmm,0,3.6575,3.6575,25.017,TRUE
NbF5,Pmma,3.0548,3.658,8.4219,23.595,FALSE
LiFeP,P4/nmm,0,3.6581,3.6581,24.082,TRUE
BaTl(NiO3)2,Pm,0,3.659,3.6417,39.797,FALSE
KHCO3,P2_1,4.4708,3.659,5.6055,26.563,FALSE
P2Se3,P-3m1,0.4244,3.6595,3.6595,23.614,TRUE
HfP2,P-3m1,0,3.6596,3.6596,21.95,TRUE
AlCuF5,Pmmm,0,3.66,7.3325,22.829,FALSE
Cr3Se4,P-3m1,0,3.6603,3.6599,29.269,FALSE
Mn(SbS2)2,Pmc2_1,0,3.6604,10.938,28.995,FALSE
VHgO3,P-1,2.4189,3.661,9.9458,24.424,FALSE
CuSi2P3,Pm,0,3.6611,6.4501,26.743,FALSE
V2Te3,P2_1/m,0,3.6619,9.9915,24.161,FALSE
NiSe,P4/nmm,0,3.6629,3.6629,22.999,TRUE
InBrO,Pmmn,2.3891,3.6636,4.0995,25.978,FALSE
CuSe,P4/nmm,0,3.6637,3.6637,23.081,TRUE
HfAs2,P-3m1,0,3.6638,3.6638,21.95,TRUE
V2CoO6,C2/m,1.5327,3.6639,7.6456,24.947,FALSE
Ba2TlNi2O7,P4/mmm,0,3.664,3.6643,30.696,TRUE
UGe2,C2/m,0,3.664,5.2366,26.177,FALSE
TbN2,C222,0,3.6646,3.8714,24.923,FALSE
GeSe,P3m1,2.2646,3.6657,3.6657,21.529,TRUE
CuS,P3m1,0,3.6665,3.6665,20.492,TRUE
MnSbS2Cl,Pmc2_1,0.212,3.6665,9.9538,25.277,FALSE
CdO,P-6m2,0.8238,3.6674,3.6674,20.634,TRUE
Al2Zn2S5,P-3m1,1.0572,3.6675,3.6675,31.89,TRUE
Mn2ZnO5,Pmmn,0.1132,3.6679,11.717,26.432,FALSE
Al2Zn2S5,P-3m1,1.2347,3.6695,3.6695,31.894,TRUE
CdHClO,P3m1,2.5718,3.6695,3.6695,23.514,TRUE
Li2Br,Pmma,0,3.67,6.221,23.993,FALSE
AgClO2,P2_1/m,0.0131,3.6703,3.9507,29.636,FALSE
Sc5Br8,P2/m,0,3.6704,13.895,25.194,FALSE
Bi4C3,C2,0,3.6704,3.6704,27.835,TRUE
KV4O10,Amm2,0,3.6706,6.0116,28.291,FALSE
WCl2,C2/m,0.6214,3.671,4.2695,23.102,FALSE
V2CdO6,C2/m,2.706,3.671,9.4884,24.369,FALSE
ZnCl2,P-4m2,4.3187,3.6715,3.6715,22.75,TRUE
PtS,P3m1,0,3.6721,3.6721,21.231,TRUE
HfSiTe,P4/nmm,0,3.6721,3.6721,26.986,TRUE
KH(CN2)3,P-1,0.0571,3.6729,8.8266,28.112,FALSE
CdCN2,P3m1,0,3.6738,3.6738,23.302,TRUE
Al2Zn2S5,P-6m2,1.5795,3.6743,3.6743,31.887,TRUE
BaTl(CoO3)2,Pm,0,3.6745,3.6829,64.918,FALSE
NaTiCuS3,P2_1/m,0.322,3.6749,9.6604,26.9,FALSE
LiV2O5,Pmmn,0.707,3.675,11.327,27.002,FALSE
PdCl2,P-3m1,0.4072,3.6756,3.6756,23.007,TRUE
MgV2O6,C2/m,2.8618,3.6756,9.2929,24.197,FALSE
C,Cmmm,0,3.676,3.676,22.476,TRUE
ZrBrN,P-3m1,2.572,3.6761,3.6761,26.605,TRUE
ScBr2,P-6m2,0.1258,3.6762,3.6762,23.825,TRUE
CI2,P-6m2,0.1289,3.6762,3.6762,23.838,TRUE
Sb2C,Pmc2_1,0.1622,3.6765,10.142,25.607,FALSE
AgCl2,P-4m2,0,3.6768,3.6768,23.53,TRUE
V6O13,Pmma,0,3.6768,11.901,28.591,FALSE
AuSe,P2/m,1.2376,3.6768,6.2433,22.522,FALSE
LiBr,P4/mmm,4.6651,3.677,3.677,"20.0,""",TRUE
RbV4O10,Cmmm,0,3.6771,6.0266,27.908,FALSE
GaS,P-6m2,0.8716,3.6775,3.6775,24.094,TRUE
NdC2,P4/mmm,0,3.6781,3.6781,22.598,TRUE
HoS3,P4/nmm,0,3.6781,3.6781,29.088,TRUE
AsS,C2/m,0,3.6788,3.6788,23.297,TRUE
Ru3Se4,P2_1/m,0,3.6793,5.9975,28.104,FALSE
FeSe,P4/nmm,0,3.6795,3.6795,22.768,TRUE
CuCl2,P2_1/c,0.1137,3.6807,6.0337,21.524,FALSE
Li2Br,P-3m1,0,3.6813,3.6813,23.407,TRUE
Al2ZnS4,P3m1,0,3.6816,3.6816,29.011,TRUE
Al2S3,P1,2.1284,3.6816,6.8645,29.574,FALSE
ScI2,P4/mmm,0,3.6819,3.6819,23.801,TRUE
Al2ZnS4,P-3m1,1.6313,3.6819,3.6819,28.962,TRUE
Mn2Ga2S5,P-3m1,0,3.6824,3.6825,32.086,TRUE
Sn(NF)2,P2/m,2.1507,3.6824,6.8848,22.855,FALSE
CoSi3,P-6m2,0,3.683,3.683,24.981,TRUE
Ga2S3,P1,0.0323,3.683,6.6181,29.436,FALSE
VTe,P4/nmm,0,3.6832,3.6832,23.448,TRUE
Sr2Ir,P4/mmm,0,3.6836,3.6836,24.618,TRUE
WI5,Pmmm,0,3.6836,10.557,23.822,FALSE
TmClO,Pmmn,5.3508,3.6841,4.1126,25.828,FALSE
PtSe,P-3m1,0,3.6843,3.6843,23.678,TRUE
Se2Cl2O5,P4/mmm,0,3.6845,3.6845,28.317,TRUE
MnCl2,P-3m1,1.765,3.6846,3.6846,22.766,TRUE
BaTl(CoO3)2,P4mm,0,3.6861,3.6864,30.731,TRUE
Cr(GaS2)2,P-3m1,0,3.6861,3.7011,29.068,FALSE
AuCl2,P-4m2,0,3.6866,3.6866,23.53,TRUE
IrSe2,P-3m1,0,3.6873,3.6873,22.656,TRUE
HoN2,C222,0,3.6878,3.8439,24.927,FALSE
Zn2Ga2S5,P-3m1,0.9591,3.6879,3.6879,31.968,TRUE
ZrI,C2/m,0,3.6889,3.695,25.899,FALSE
NbTe2,P-3m1,0,3.6889,3.6889,23.682,TRUE
V2MoO8,Cmm2,1.7477,3.6891,9.671,22.114,FALSE
BeSn2,C2/m,0,3.6892,6.3796,23.148,FALSE
OsS,Cmme,0,3.6898,3.6898,23.662,TRUE
NiC2(SN)2,C2/m,0.2856,3.6901,5.5224,23.093,FALSE
GaS,P3m1,0.3183,3.6902,3.6902,21.25,TRUE
PbN,C2/m,0,3.6906,10.203,25.357,FALSE
ZrS2,P-3m1,1.1262,3.6909,3.6909,22.914,TRUE
SiAs2,Pmc2_1,1.3449,3.6911,10.316,26.188,FALSE
LuSn2,P4/mmm,0,3.692,3.692,23.779,TRUE
SmH2ClO2,P2_1/m,4.4649,3.6922,6.3494,25.7,FALSE
Al2ZnS4,P3m1,0,3.6925,3.6925,28.983,TRUE
Al2ZnS4,P3m1,0,3.6926,3.6926,28.997,TRUE
TaTe2,P-3m1,0,3.6928,3.6928,23.682,TRUE
Feb-02,P-3m1,0,3.693,3.693,22.999,TRUE
Al2Zn2S5,P3m1,0,3.6941,3.6941,32.118,TRUE
Zn2Ga2S5,P-6m2,0.9367,3.6941,3.6941,31.94,TRUE
V4ZnO10,Pmm2,0.9339,3.6947,11.438,23.474,FALSE
BeBi2,C2/m,0,3.6951,6.5605,24.98,FALSE
GeClF,P4/nmm,2.8711,3.6952,3.6952,25.063,TRUE
NbTe3,P2_1/m,0,3.6955,13.466,27.007,FALSE
TbMgNi,Pmma,0,3.6962,3.8343,27.134,FALSE
Al2Zn2S5,P3m1,0,3.6966,3.6966,32.167,TRUE
SrH2O3,Pmc2_1,3.0278,3.6966,5.9537,21.116,FALSE
PBr5,Pmmm,0,3.6969,8.4448,23.758,FALSE
GeSe2,P-4m2,0.6057,3.6969,3.6969,22.855,TRUE
Hf3Te2,P4/mmm,0,3.697,3.697,26.086,TRUE
Sc2Br5,P2_1/m,0.2209,3.6975,15.001,26.524,FALSE
TeRhCl,P2_1/m,1.1188,3.6975,6.6539,22.711,FALSE
Be2As,Pmmn,0,3.6976,3.6363,22.829,FALSE
Pr2F5,P2_1/m,0.8202,3.6976,12.716,26.349,FALSE
SnS2,P-3m1,1.5738,3.6977,3.6977,22.955,TRUE
Al2Se3,P-3m1,0.7676,3.6978,3.6978,26.456,TRUE
As4I,P2/m,0,3.6986,11.271,33.789,FALSE
YS3,P4/nmm,0,3.6988,3.6987,29.216,TRUE
Mn(CuCl2)2,Pmm2,0.9825,3.699,7.8616,22.051,FALSE
NbI5,Pmma,0,3.6993,20.131,23.595,FALSE
La2C,P-3m1,0,3.6995,3.6995,22.695,TRUE
NbI2,P-3m1,0,3.6996,3.6996,22.903,TRUE
HfI2,P2_1/m,0.6317,3.7002,6.7815,24.412,FALSE
Ca2Hg,P4/mmm,0,3.7006,3.7006,23.983,TRUE
As9I2,P2_1/m,0,3.7008,11.345,35.052,FALSE
VCl2O,Pmma,1.6461,3.7012,6.9409,23.301,FALSE
SiAs,C2/m,1.8965,3.7013,10.86,24.945,FALSE
AgCl,Pmma,0.9837,3.7015,3.769,23.133,FALSE
Ba2Tl2Co3O10,P1,0,3.7016,3.7028,61.366,FALSE
CoBr2,P-3m1,0.0431,3.7017,3.7017,22.858,TRUE
ErHCl,P-3m1,0,3.702,3.702,26.04,TRUE
HfIN,P-3m1,2.0543,3.7022,3.7022,27.002,TRUE
TiBr2,P-3m1,0,3.7024,3.7024,23.269,TRUE
AlCrF5,Pmmm,0,3.7026,7.6099,22.945,FALSE
Zn(GaS2)2,P-3m1,1.1143,3.7035,3.7035,29.037,TRUE
HfI2,P-3m1,0,3.7038,3.7038,23.196,TRUE
ZrSiTe,P4/nmm,0,3.7041,3.7041,26.981,TRUE
Be2P,P-3m1,0,3.7043,3.7043,23.013,TRUE
MgW2O5,Amm2,0.5204,3.7046,5.8722,23.453,FALSE
Mn(GaS2)2,P3m1,0,3.7048,3.7048,29.123,TRUE
As,Pmna,0.6292,3.705,4.6901,22.423,FALSE
B,Pmma,0,3.7052,1.6032,22.343,FALSE
Mg(AlS2)2,P-3m1,2.1091,3.7052,3.7052,29.038,TRUE
Ba2Ni3O7,P2/m,0,3.7054,3.7736,29.493,FALSE
AlF,P4/nmm,1.3502,3.7058,3.7058,19.742,TRUE
LuSi2,P4/mmm,0,3.7061,3.7061,23.779,TRUE
Na(NO)2,P1,0,3.7061,3.7228,27.416,FALSE
Bi2O3,Pm,2.3691,3.7061,5.4796,21.906,FALSE
ScSe,P4/nmm,0,3.7062,3.7062,23.289,TRUE
AlNiF5,Pmmm,0.1657,3.7067,7.4475,23.702,FALSE
CoSe,P4/nmm,0,3.7068,3.7068,22.797,TRUE
TaNi2Te3,P2_1/m,0,3.7069,10.701,23.947,FALSE
SrSb,Pmm2,0,3.7075,6.1078,27.111,FALSE
LuPb2,P4/mmm,0,3.7079,3.7079,23.779,TRUE
