Formula,Space Group,Band Gap,a,b,c,a=b
SBr,P-1,1.7831,7.6954,9.1381,25.174,FALSE
Nb3TeI7,P3m1,0.6069,7.6989,7.6989,24.023,TRUE
ZnC2(SN)2,P-1,3.8952,7.7053,7.8197,29.38,FALSE
Zn2SeCl2O3,P2_1/c,4.102,7.7132,10.368,25.928,FALSE
BiB,P4/mbm,0,7.7181,7.7181,"20.0,""",TRUE
NbOF3,P-1,3.5574,7.7226,8.7526,25.511,FALSE
BiI3,P2_1/c,2.4136,7.7254,13.041,25.191,FALSE
Tl2Se3,P1,0.3261,7.7306,7.6532,38.35,FALSE
As3Pb,P-3m1,0.4188,7.7366,7.7366,21.405,TRUE
SeI,P-1,0.6758,7.7399,9.5389,25.149,FALSE
Na2UI6,P-3,0.2715,7.7404,7.7404,23.561,TRUE
Th(TeI)2,C2/m,1.4586,7.7405,8.137,24.981,FALSE
BiSe,P2_1/c,0.0282,7.742,7.3424,22.075,FALSE
ThRh5,P6/mmm,0,7.7425,7.7713,"20.0,""",FALSE
TlI3,Pmc2_1,0.9167,7.7444,7.1591,22.613,FALSE
GaP,P4/mbm,0.8737,7.7476,7.7476,"20.0,""",TRUE
Hg3AsSe4I,P3m1,1.7855,7.7524,7.7524,23.509,TRUE
ZnBr2,P-4m2,3.6055,7.7588,7.7588,26.753,TRUE
GaPS4,P2_1/c,2.2931,7.7605,12.039,23.394,FALSE
SnAs3,P-3m1,0,7.7611,7.7611,21.405,TRUE
AlP,P4/mbm,2.1265,7.7611,7.7611,"20.0,""",TRUE
Ca2Bi10O17,P1,1.9624,7.7616,7.7941,27.269,FALSE
SnBr4,Pmmn,0,7.7664,5.7704,22.402,FALSE
SiBi3,P-3m1,0,7.7675,7.7672,21.405,TRUE
AlBiBr6,P-1,2.6119,7.7719,9.717,25.346,FALSE
SbF3,P2_1/c,3.9338,7.7768,7.225,24.139,FALSE
InI3,Pmc2_1,1.1004,7.7809,7.6388,22.613,FALSE
InTeI,P2_1/c,1.9599,7.7824,8.3902,25.075,FALSE
SnSb3,P-3m1,0,7.7874,7.7881,21.405,FALSE
Tc3I8,P1,0.0374,7.7941,7.7947,22.151,TRUE
Li2FeP2O7,P-42_1m,3.9122,7.7979,7.7979,24.734,TRUE
SbOF3,P-1,2.732,7.8042,8.1486,25.548,FALSE
Si3As4,P1,0.3938,7.8067,9.4041,20.191,FALSE
Si3Sb4,P1,0.703,7.8159,12.247,20.003,FALSE
GeBi3,P-3m1,0,7.8171,7.8566,21.68,FALSE
Bi2B2O7,P-1,0,7.8206,7.775,22.994,FALSE
BSb3,P-3m1,0,7.822,7.8209,21.198,FALSE
Li2MnP2O7,P-42_1m,4.2136,7.8289,7.8289,22.252,TRUE
Ga2Te3,P1,0.3653,7.8296,7.8101,38.471,FALSE
Re3I8,P1,0.0711,7.8299,7.8278,22.359,FALSE
BaBi4O7,P3m1,1.9396,7.8312,7.8312,25.894,TRUE
Rb3Nb2Br9,P-6m2,0.4253,7.8315,7.8315,31.622,TRUE
Al2Te3,P1,0,7.8411,7.7906,38.509,FALSE
Fe4S5,P4/n,0,7.8445,7.8455,22.534,FALSE
SnHC2O3,C2/m,2.5969,7.8507,8.2926,25.362,FALSE
BSb5,Pmc2_1,0,7.8558,10.754,26.806,FALSE
BaF2,P-1,5.7247,7.8652,7.929,23.521,FALSE
B2Se,P3,1.7287,7.8665,7.8665,23.381,TRUE
BiCl3,P2_1/m,2.9219,7.8666,8.5645,24.851,FALSE
K2HgCl4,P2_1/m,2.6433,7.8727,9.053,26.316,FALSE
BiSbO5,P2_1/c,0.7378,7.8746,11.126,23.199,FALSE
Sn3(HO2)2,P-4,2.8783,7.8762,7.8762,25.096,TRUE
Sb3Pb,P-3m1,0,7.882,7.8817,21.405,FALSE
HgCl2,P-4m2,2.4476,7.8857,7.8857,26.753,TRUE
