Formula,No. of Elements,Discovery Process,Space Group,Point Group,Crystal System,Band Gap,Is Gap Direct?,a,b,c
Ba2Tl2Sn3O10,4,top-down,P1,1,triclinic,0.0,False,3.8974366160930662,3.8140522564692767,61.361573
CaPH5O6,4,top-down,Pc,m,monoclinic,4.7462,True,5.7110129376159975,5.908612792353375,27.955927
ZnTeO3,3,top-down,Pca2_1,mm2,orthorhombic,3.3109999999999995,True,6.25267957,11.51372513,23.551619
Ta3Br7,2,top-down,Pmna,mmm,orthorhombic,1.2686000000000002,True,11.76781666,13.97999853,26.308894
BaH4O3,3,top-down,Pmc2_1,mm2,orthorhombic,4.1383,True,3.85530048,6.65550064,26.210713
SnO2,2,top-down,P3m1,3m,trigonal,0.028900000000000148,False,6.443750533304538,6.44546213057452,35.305342
Cr3Se2ClO8,4,top-down,P2_1/m,2/m,monoclinic,0.4977999999999998,False,6.320449552561486,9.84377982380923,26.09597
NdPb8F19,3,top-down,Cm,m,monoclinic,3.5511999999999997,False,4.118734612735736,4.1214456477976755,69.229357
BaSn4O7,3,top-down,P3m1,3m,trigonal,0.5962000000000001,False,7.20254271,7.202543672617232,25.296555
NaH4ClO2,4,top-down,P2_1/c,2/m,monoclinic,4.4388,True,6.34361093,9.78200197,24.474276
Li3Sn(PO3)6,4,top-down,P1,1,triclinic,0.4952999999999994,False,7.556158884316286,7.270362524141736,29.452199
Cu2H2CO5,4,top-down,P2_1/c,2/m,monoclinic,0.0,False,10.525413653864875,11.86106327,21.451298
Mo3Se2ClO8,4,top-down,P2_1,2,monoclinic,1.4081000000000001,False,7.170014987098232,10.015478752867734,25.801738
AlCuF5,3,top-down,Pmmm,mmm,orthorhombic,0.0,False,3.66001468,7.33254817,22.82967352
KTeF5,3,top-down,Pbcm,mmm,orthorhombic,5.203200000000001,True,7.07669732,12.82979302,24.557568
Li2CrP4O13,4,top-down,P-1,-1,triclinic,0.34399999999999986,True,4.952012339365324,7.840996493914883,31.82178
SbO2,2,top-down,P-1,-1,triclinic,2.2121999999999997,False,6.104699578891359,9.656072015993544,30.457441
LiCrP4O13,4,top-down,P1,1,triclinic,0.0,False,5.036956617895042,7.777490178358851,32.686972
HfTe3Se8,3,top-down,P-1,-1,triclinic,0.5354999999999999,False,7.472620888051671,7.610994911476566,35.327287
ZnMoF5,3,top-down,P1,1,triclinic,2.1987000000000005,False,7.910034166122147,7.826421001646346,24.111095
Na2Ti2O5,3,top-down,Pca2_1,mm2,orthorhombic,2.4452999999999996,False,9.31937492,10.81057942,25.900174
MnPO4,3,top-down,P2_1/c,2/m,monoclinic,1.6749,False,5.99469051,10.646994104008597,22.722458692771976
CuHClO,4,top-down,P2_1/c,2/m,monoclinic,0.2189000000000001,False,4.892202341629271,6.16565965,23.775924
NiPO4,3,top-down,P1,1,triclinic,0.08889999999999976,False,6.431386292285385,6.4032571251724635,27.034503
CaMoAsO5,4,top-down,P1,1,triclinic,1.3381999999999998,False,6.1784533857850725,9.13288129827456,24.472178840406176
KSb2F7,3,top-down,P2_1/c,2/m,monoclinic,4.2587,False,7.51356824,8.26666561051339,28.438467
KAs2F7,3,top-down,P2_1/c,2/m,monoclinic,4.8012999999999995,False,7.35000233,8.581216264664228,26.944822
Ge(PbS2)2,3,top-down,P2_1/c,2/m,monoclinic,1.9671999999999998,False,8.18136634,10.923363728381396,28.0376168305753
BaY3Cl11,3,top-down,Pmma,mmm,orthorhombic,4.0264,False,5.27050859,10.20061087,61.77525091
Na2UI6,3,top-down,P3m1,3m,trigonal,0.039000000000000146,False,12.37323161,12.373231727731493,28.731545
BaCO3,3,top-down,P2/m,2/m,monoclinic,2.0157999999999996,True,6.24677813,6.192779700737505,22.274106
CuSeO3,3,top-down,P-1,-1,triclinic,0.0,False,4.703877874162941,10.58991611092542,27.247586
Rb2U3(IO5)4,4,top-down,P-1,-1,triclinic,1.8146,False,7.0659316910713095,7.875828657635965,30.747025
BiOF,3,top-down,P2_1/c,2/m,monoclinic,3.2822,True,7.54617922,10.25726137,28.716053
Mn3(SeO3)4,3,top-down,P-1,-1,triclinic,0.9491,False,8.270089483686187,10.127002132920113,26.200949
ZnWF5,3,top-down,P2/c,2/m,monoclinic,0.0,False,7.67768638552399,7.801295772014362,21.481084
LiSb(PO3)4,4,top-down,P2/c,2/m,monoclinic,2.8648000000000007,False,7.327424439494836,9.900911554635243,28.62984969
Li2NbP4O13,4,top-down,P-1,-1,triclinic,0.26239999999999986,False,5.150827513717799,8.023432079765334,32.879108
YBi3F15,3,top-down,P2_1/m,2/m,monoclinic,1.1719,False,10.952528751304216,11.26898165,28.797671
LiSn4(PO4)3,4,top-down,P-1,-1,triclinic,3.1972,False,9.506995233916733,11.04237539156577,25.189962
ZnFe4O9,3,top-down,P-1,-1,triclinic,0.0,False,8.507891422347127,8.468531527903707,23.806868
RbBiF4,3,top-down,P1,1,triclinic,0.0,False,3.940831447387822,4.3648441509505975,60.338868
Cu2WO4,3,top-down,P-1,-1,triclinic,0.7605000000000004,False,7.459038826324713,8.139376750274158,26.72657
RbReCl4,3,top-down,Pmma,mmm,orthorhombic,1.1604,True,11.21892532,15.21868576,23.93883041
Sn4SI6,3,top-down,P2_1/m,2/m,monoclinic,1.7064,False,4.43124642,26.520081033986994,25.396515182893765
LiVF6,3,top-down,P2_1/c,2/m,monoclinic,3.4307000000000007,False,10.53838137718411,10.29540546,25.231430731142492
BiAuCl6,3,top-down,P-1,-1,triclinic,1.0021000000000004,False,10.075812897030467,14.169623082774736,31.017331269567386
B2S3,2,top-down,P-1,-1,triclinic,2.6824000000000003,False,10.827472404225109,17.451757247321833,38.83635664899006
As2WO7,3,top-down,P2_1/c,2/m,monoclinic,3.2723999999999998,False,8.12487801,9.923704197738115,26.99574921877575
CrO2,2,top-down,Cm,m,monoclinic,0.1976,False,5.997101010390296,5.983275638257677,34.022254
Sb3O2F5,3,top-down,P2/c,2/m,monoclinic,3.8486000000000002,False,8.103164081208055,12.686162026377163,26.5164651
Cu2WO4,3,top-down,P-1,-1,triclinic,0.9017999999999997,True,7.435920420010783,8.336251089586709,25.73684437939847
Y(CuO2)3,3,top-down,P1,1,triclinic,0.0,False,3.6307666812516226,8.858466924176804,24.58076901765833
Cu3OF5,3,top-down,P-1,-1,triclinic,0.0,False,5.257705236966507,5.525380370442679,27.26745898303835
As,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.59339635,2.59339635,20.0
Al,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.6676028,2.6676028,20.0
P,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.30734031,2.30734031,20.0
Al,1,bottom-up,Pmma,mmm,orthorhombic,0.0,False,2.68861205,2.76760895,22.343883
Si,1,bottom-up,P-3m1,-3m,trigonal,0.000300000000000189,True,3.87590945,3.8754562732976274,20.688228
In,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.02064307,3.02064307,20.0
N2,1,bottom-up,Pmma,mmm,orthorhombic,2.9697000000000005,False,3.5576150082307954,6.769192722445418,20.0
Ga,1,bottom-up,P6/mmm,6/mmm,hexagonal,0.0,False,2.7683879300001273,2.768383795101021,20.0
Cl2,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,2.631035129580361,2.6310351858923138,20.0
S,1,bottom-up,Pmma,mmm,orthorhombic,0.0,False,3.1880803213506326,3.6331258278911,21.025149
Bi,1,bottom-up,P4/mmm,4/mmm,tetragonal,0.0,False,3.11127439,3.11127439,20.0
Sn,1,bottom-up,P-3m1,-3m,trigonal,0.0007999999999999119,True,4.65887029,4.65785296632106,20.688228
